raw_features 47414행, 130거래일 (2026-02-05 ~ 2026-08-21)
왕복비용(정본 산식, 평균가 1040.99 기준): 0.0712pt | 병기(394차 구 가정): 0.133pt
※ 방향 ± 둘 다 출력 — 더 좋은 쪽 사후 선택은 in-sample. 후보 심사는 예상 부호 사전 명세 방향만 읽을 것.

feature                       h    거래수 | +1방향:     net/일      t       전반       후반 | -1방향:     net/일      t
----------------------------------------------------------------------------------------------------------
atr                           5   9340 |            1.9924   0.32   4.5767  -0.5522 |          -12.3069  -1.96
atr_ratio                     5   9340 |            0.6711   0.10   4.4600  -3.0594 |          -10.9856  -1.65
avg_volume                    5   9346 |            3.5574   0.57   6.5489   0.6120 |          -13.8785  -2.23
bb_position                   5   8828 |            6.3272   1.00   7.8128   4.8644 |          -16.0762  -2.55
cancel_add_ratio              5   3865 |           -0.5951  -0.23   0.0000  -1.1810 |           -3.6732  -1.41
cvd                           5    457 |            1.6570   2.51   0.0000   3.2884 |           -2.1616  -3.00
cvd_delta_norm                5   9340 |          -10.2896  -1.57 -14.5303  -6.1141 |           -0.0249  -0.00
cvd_divergence                5   9322 |          -11.2014  -1.78 -17.5908  -4.9104 |            0.9068   0.14
cvd_monotone_ratio            5   1172 |           -3.4341  -2.31   0.0000  -6.8154 |            2.1398   1.48
cvd_slope                     5   8848 |           -7.9443  -1.21 -16.3146   0.2973 |           -1.8269  -0.28
ema_cross                     5   6364 |           -5.5490  -2.46  -3.6802  -7.3891 |           -1.4790  -0.65
foreign_call_net              5   3844 |            0.3832   0.15   0.0000   0.7605 |           -4.6283  -1.82
foreign_futures_net           5   3842 |            0.3854   0.15   0.0000   0.7649 |           -4.6282  -1.74
foreign_put_net               5   3843 |           -2.4183  -0.92   0.0000  -4.7993 |           -1.8257  -0.70
foreign_retail_divergence     5   3843 |           -0.9562  -0.33   0.0000  -1.8978 |           -3.2877  -1.14
hurst                         5   8539 |          -11.9698  -1.84 -15.8891  -8.1109 |            2.5399   0.39
imbalance_slope               5   3774 |           -0.7907  -0.28   0.0000  -1.5692 |           -3.3771  -1.18
institution_futures_net       5   3842 |           -3.6811  -1.15   0.0000  -7.3056 |           -0.5617  -0.18
macro_krw_chg                 5   3145 |           -2.1798  -1.04   0.0000  -4.3261 |           -1.2933  -0.62
macro_nasdaq_chg              5     78 |           -0.4322  -1.73   0.0000  -0.8578 |            0.3461   1.65
macro_sp500_chg               5    153 |           -0.1304  -0.32   0.0000  -0.2587 |           -0.0386  -0.10
macro_us10y_chg               5     76 |            0.0968   0.21   0.0000   0.1921 |           -0.1807  -0.38
