raw_features 13182행, 36거래일 (2026-07-01 ~ 2026-08-21)
왕복비용(정본 산식, 평균가 1087.46 기준): 0.0726pt | 병기(394차 구 가정): 0.133pt
※ 방향 ± 둘 다 출력 — 더 좋은 쪽 사후 선택은 in-sample. 후보 심사는 예상 부호 사전 명세 방향만 읽을 것.

feature                       h    거래수 | +1방향:     net/일      t       전반       후반 | -1방향:     net/일      t
----------------------------------------------------------------------------------------------------------
atr                           5   2601 |            4.9401   0.63  16.1724  -6.2921 |          -15.4343  -1.98
atr_expansion_rate            5   2601 |            1.8340   0.34   4.6273  -0.9592 |          -12.3282  -2.28
atr_ratio                     5   2599 |           -0.7969  -0.11   9.1298 -10.7237 |           -9.6891  -1.34
avg_volume                    5   2604 |           10.3297   1.35  19.2351   1.4242 |          -20.8359  -2.72
bar_volume                    5   2603 |           18.7178   2.68  27.8384   9.5972 |          -29.2200  -4.19
basis_change_pt               5   2309 |            4.9525   0.80  -0.9783  10.8834 |          -14.2686  -2.29
basis_pt                      5   2309 |            7.3898   1.04   9.7872   4.9923 |          -16.7058  -2.35
bb_position                   5   2571 |           -0.1832  -0.02   4.9755  -5.3419 |          -10.1899  -1.30
cancel_add_ratio              5   2600 |           -5.9545  -0.81  -4.0309  -7.8781 |           -4.5356  -0.62
cvd                           5    106 |            2.4751   1.83   2.9845   1.9656 |           -2.9027  -2.14
cvd_delta_norm                5   2602 |           -4.1674  -0.54 -12.0142   3.6794 |           -6.3308  -0.82
cvd_divergence                5   2592 |          -11.2428  -1.55 -12.7481  -9.7375 |            0.7850   0.11
cvd_monotone_ratio            5    538 |           -6.8209  -1.56  -7.5737  -6.0680 |            4.6502   1.07
cvd_slope                     5   2603 |            7.6967   1.06  10.2140   5.1794 |          -18.1989  -2.51
ema_cross                     5   2601 |           -4.5749  -0.75   1.6591 -10.8088 |           -5.9193  -0.97
foreign_call_net              5   2597 |           -1.5296  -0.22   6.5763  -9.6355 |           -8.9484  -1.30
foreign_futures_net           5   2597 |           -0.2879  -0.03   2.0052  -2.5810 |          -10.1901  -1.23
foreign_put_net               5   2596 |           -4.7887  -0.64 -14.4930   4.9156 |           -5.6853  -0.76
foreign_retail_divergence     5   2597 |           -2.9757  -0.36  -4.4959  -1.4555 |           -7.5023  -0.91
hurst                         5   2418 |           -8.4862  -1.30 -12.8666  -4.1059 |           -1.2696  -0.20
imbalance_slope               5   2534 |           -7.3597  -1.04  -8.6740  -6.0454 |           -2.8641  -0.40
institution_futures_net       5   2597 |           -3.3007  -0.34  -3.2370  -3.3644 |           -7.1773  -0.74
macro_krw_chg                 5   2548 |           -5.5563  -0.94  -8.9118  -2.2007 |           -4.7240  -0.80
macro_nasdaq_chg              5     78 |           -1.5518  -1.77   0.0000  -3.1036 |            1.2371   1.67
