gp,metric,n,n_best,best,r1,2nd,r2,3rd,r3
gp_dir,pearson,89986,89975,poc_distance,0.8550644022101103,ret_15m,0.8180321223610115,price_extension_atr,0.69811213793028
gp_dir,spearman,89986,89975,ret_15m,0.8858854573429003,bb_position,0.8492646605804848,poc_distance,0.7962480677118853
gp_range,pearson,89986,13119,realized_vol_ann,0.7964641414409022,atr,0.6793919116882321,poc_distance,0.6326675634571467
gp_range,spearman,89986,89975,atr,0.8627690907060324,realized_vol_ann,0.8138111001017467,va_bandwidth,0.8065224549036696
gp_pos,pearson,89986,89975,bb_position,0.9264830699438996,price_extension_atr,0.7998112193053095,ema_cross,0.775688935125316
gp_pos,spearman,89986,89975,bb_position,0.9370856254761797,ret_15m,0.8368681772235695,price_extension_atr,0.8215987903777632
gp_break_lo,pearson,89986,89975,bb_position,0.5395026477034168,price_extension_atr,0.4556314588847344,rp_dist_to_high_60m_atr,0.39047284398642107
gp_break_lo,spearman,89986,89975,bb_position,0.5210470143402943,price_extension_atr,0.44950207886150834,ret_5m,0.4254137064033581
gp_break_hi,pearson,89986,89975,bb_position,0.5331951391814412,price_extension_atr,0.4587117911377649,rp_dist_to_low_60m_atr,0.3569539500906695
gp_break_hi,spearman,89986,89975,bb_position,0.5384309812483119,price_extension_atr,0.43579784726933934,rp_dist_to_high_60m_atr,0.4341107759820259
gp_range_drop,pearson,89729,13082,realized_vol_ann,0.1947451987512849,va_bandwidth,0.14338704291395374,poc_distance,0.13922713948512414
gp_range_drop,spearman,89729,89718,ret_1m,0.4032785461882318,mlofi_norm,0.3256279634627179,cvd_delta_norm,0.30696679886137584
gp_squeeze,pearson,74877,74866,atr_ratio,0.2698382745996803,trend_efficiency,0.23679979477157884,time_cos,0.14978883193404982
gp_squeeze,spearman,74877,74866,atr_ratio,0.275105122019529,trend_efficiency,0.23262761236376547,time_cos,0.1541107177538892
gp_buy,pearson,89986,12400,price_extension_atr,0.5497134213594985,realized_vol_ann,0.5179443726147286,bb_position,0.5071785215422921
gp_buy,spearman,89986,89975,bb_position,0.7404015450879049,price_extension_atr,0.7197299957495126,ret_15m,0.7174076700953739
gp_sell,pearson,89986,89975,poc_distance,0.7983817872498051,ret_15m,0.7182704488434708,price_extension_atr,0.5638577265510193
gp_sell,spearman,89986,89975,bb_position,0.7719875907750193,ret_15m,0.7221575374589954,price_extension_atr,0.7132799414670629
