label,n,days,long_share,net_per,net_sum,day_pos,day_neg,sign_p,t_p,sf5,sf15,sf30,sf30_p,hit30,stop_rate,first,last
R1R2_외인Δ10,4600,41,0.5080434782608696,-12968.967744074247,-59657251.622741535,8,33,0.00011222142620681552,0.01965798826069048,-0.1126616805983294,-0.2731655328798185,-0.5710156620787864,0.3092076917257581,0.4345652173913043,0.4926086956521739,2026-06-04,2026-09-07
R1R2_외인Δ30,4396,42,0.5316196542311192,-12303.244741485532,-54085063.8835704,9,33,0.0002715392342906853,0.2753493942498454,-0.06024942263279495,-0.17199714693295273,-0.11966583541147022,0.3245267415944002,0.4406278434940855,0.4924931756141947,2026-06-02,2026-09-07
R1R2_외인Δ10≥300계약,1022,41,0.5371819960861057,-17130.344506579946,-17507212.085724704,12,29,0.011507789735333063,0.09139540275044432,-0.2252432969215492,-0.5888438133874234,-1.5210234541577814,0.14149639162119487,0.3816046966731898,0.5107632093933464,2026-06-04,2026-09-07
R3_체결강도Δ5,7399,64,0.4956075145289904,-11294.889833900022,-83570889.88102627,16,48,7.733076881287027e-05,8.791419131836854e-06,0.0465334610647324,0.1323959949231431,0.10486725663716855,0.5996153215933051,0.46127855115556154,0.48438978240302744,2026-06-08,2026-09-07
R3b_체결강도vsMA20,7399,64,0.5296661711042032,-11364.053371443662,-84082630.89531165,13,51,1.8809621564294015e-06,0.0003009905842135255,0.005624743396742635,0.026729657312085656,0.02620648967551603,0.9428789007073937,0.456548182186782,0.48520070279767535,2026-06-08,2026-09-07
R4_GS≥0.5&상향→SHORT,8176,255,0.0,-4998.337129322102,-40866404.36933751,61,194,2.4860769855998614e-17,1.513979559997733e-09,0.15741492358611803,0.3075361064716539,0.505777588207815,0.8909023576088628,0.46734344422700586,0.48140900195694714,2025-08-19,2026-09-07
R5_GB≥0.5&상향→LONG,8745,255,1.0,-10538.363638459472,-92157990.01832809,84,171,5.41954673319098e-08,2.478532008693445e-10,-0.06113433914972841,-0.1198645781759666,-0.17073842478241438,0.15242043853675244,0.49651229273870784,0.4782161234991424,2025-08-19,2026-09-07
R4R5_합,15733,257,0.5177016462213182,-7822.358003128717,-123069158.46322411,72,185,1.2216091090462043e-12,3.714633668134142e-17,-0.011641397012667984,0.03279254481454247,0.12063660871178171,0.10659904500843193,0.4827432784592894,0.47918388101442827,2025-08-19,2026-09-07
R7_한쪽≈0&반대급등,5527,251,0.4667993486520716,-8284.460464239603,-45788212.985852286,79,172,4.2704562637182555e-09,9.835051608029103e-09,0.03188907026811189,0.10470054389807205,0.13123365523346442,0.5276637820840336,0.4789216573186177,0.4796453772390085,2025-08-19,2026-09-07
R8_OBV>시그널,29926,257,0.516407137606095,-8809.267602419779,-263626142.2700143,31,226,9.41343130432403e-38,4.147626169822065e-23,0.010308192793958773,0.053059374702990186,0.09555275669239542,0.2060991256870503,0.4705273006749983,0.48766958497627483,2025-08-19,2026-09-07
R8b_OBVΔ5,29906,257,0.5108339463652779,-8728.349157734376,-261030009.91120422,27,230,2.550095990557979e-41,4.0489910618915683e-26,0.002178130273181831,0.03474624908111431,0.03355639806189365,0.45806585504924524,0.4690028756771216,0.4858222430281549,2025-08-19,2026-09-07
R9_거리모델_되돌림,1836,41,0.6655773420479303,-2831.0813041499587,-5197865.2744193245,14,27,0.05958388801809633,0.01130511675386137,0.21215231788079186,0.6382658300057048,1.0921968787515006,0.014038340200128343,0.4733115468409586,0.4651416122004357,2026-06-23,2026-09-07
R10_거리모델_돌파,1754,43,0.41961231470923605,-3342.0674559837166,-5861986.317795439,12,31,0.005401572654591291,0.0035503357208822566,0.17785797438882234,0.07839855508729737,0.06901808785529556,0.018057360906763624,0.43272519954389965,0.4709236031927024,2026-06-23,2026-09-07
R9_구조모델_되돌림,4278,48,0.3688639551192146,-5730.887859585612,-24516738.263307247,18,30,0.11140289106101878,0.02410242606935666,0.17037968675842344,0.40748712919833335,0.786697626418989,0.7589706741213772,0.4747545582047686,0.4777933613838242,2026-06-23,2026-09-07
R10_구조모델_돌파,4276,46,0.3971000935453695,-10916.924565900992,-46680769.44379264,12,34,0.0016414913408482334,0.0021899444230235854,0.09028503562945253,0.14886218734673887,0.20542451612903218,0.5934870907023426,0.45813844714686625,0.48783910196445274,2026-06-23,2026-09-07
RSI_과매수매도역행,9691,256,0.4633164792075121,-9097.297650216893,-88161911.52825192,63,193,1.6077915388611728e-16,1.1258669104473813e-07,-0.032252584234583874,-0.2434380482514658,-0.3029718525142811,0.20232023521624903,0.4504179135280157,0.49984521721184605,2025-08-19,2026-09-07
R1R2_외인Δ10,4600,41,0.5080434782608696,-12968.967744074247,-59657251.622741535,8,33,0.00011222142620681552,0.01965798826069048,-0.1126616805983294,-0.2731655328798185,-0.5710156620787864,0.3092076917257581,0.4345652173913043,0.4926086956521739,2026-06-04,2026-09-07
R1R2_외인Δ30,4396,42,0.5316196542311192,-12303.244741485532,-54085063.8835704,9,33,0.0002715392342906853,0.2753493942498454,-0.06024942263279495,-0.17199714693295273,-0.11966583541147022,0.3245267415944002,0.4406278434940855,0.4924931756141947,2026-06-02,2026-09-07
R1R2_외인Δ10≥300계약,1022,41,0.5371819960861057,-17130.344506579946,-17507212.085724704,12,29,0.011507789735333063,0.09139540275044432,-0.2252432969215492,-0.5888438133874234,-1.5210234541577814,0.14149639162119487,0.3816046966731898,0.5107632093933464,2026-06-04,2026-09-07
R3_체결강도Δ5,7399,64,0.4956075145289904,-11294.889833900022,-83570889.88102627,16,48,7.733076881287027e-05,8.791419131836854e-06,0.0465334610647324,0.1323959949231431,0.10486725663716855,0.5996153215933051,0.46127855115556154,0.48438978240302744,2026-06-08,2026-09-07
R3b_체결강도vsMA20,7399,64,0.5296661711042032,-11364.053371443662,-84082630.89531165,13,51,1.8809621564294015e-06,0.0003009905842135255,0.005624743396742635,0.026729657312085656,0.02620648967551603,0.9428789007073937,0.456548182186782,0.48520070279767535,2026-06-08,2026-09-07
R4_GS≥0.5&상향→SHORT,3361,67,0.0,-1711.0091081539279,-5750701.612505351,25,42,0.04980011429472864,0.20182597184112253,0.13710407239819275,0.31494580365438385,0.7440688982775451,0.4814603446615714,0.4805117524546266,0.4656352276108301,2026-06-02,2026-09-07
R5_GB≥0.5&상향→LONG,3301,67,1.0,-16784.64071896341,-55406099.01329821,17,50,6.73797366691546e-05,5.976430352750063e-05,0.006135946111452837,-0.12348071495766669,-0.36361563517915285,0.15363314205914716,0.4447137231142078,0.495607391699485,2026-06-02,2026-09-07
R4R5_합,5964,67,0.4949698189134809,-9653.937844564736,-57576085.304984085,21,46,0.0030653176696087397,2.3325220025373776e-05,0.05065693430657019,0.07086131894901744,0.205860127157131,0.1907861287583995,0.46327967806841047,0.48256203890006705,2026-06-02,2026-09-07
R7_한쪽≈0&반대급등,2413,67,0.46249481972648154,-9917.360693704844,-23930591.35390979,23,44,0.013933875024287785,0.005136345804386581,0.04192629815745542,0.15130957492486166,0.1409830205540688,0.6097686384658394,0.4562784915043514,0.4869457107335267,2026-06-02,2026-09-07
R8_OBV>시그널,7743,67,0.5007103189978045,-12167.229650884543,-94210859.18679902,15,52,6.4590727912378805e-06,7.217555932229951e-06,0.028398902104299864,0.152511096166779,0.21111048636491467,0.27160517725703837,0.45886607258168666,0.48818287485470746,2026-06-02,2026-09-07
R8b_OBVΔ5,7735,67,0.4942469295410472,-12531.980167853226,-96934866.5983447,14,53,1.7728678775519788e-06,9.201763379176347e-07,0.0009997382884056986,0.09909580193756755,0.15327052868391444,0.36669289547211115,0.45804783451842274,0.4872656755009696,2026-06-02,2026-09-07
R9_거리모델_되돌림,1836,41,0.6655773420479303,-2831.0813041499587,-5197865.2744193245,14,27,0.05958388801809633,0.01130511675386137,0.21215231788079186,0.6382658300057048,1.0921968787515006,0.014038340200128343,0.4733115468409586,0.4651416122004357,2026-06-23,2026-09-07
R10_거리모델_돌파,1754,43,0.41961231470923605,-3342.0674559837166,-5861986.317795439,12,31,0.005401572654591291,0.0035503357208822566,0.17785797438882234,0.07839855508729737,0.06901808785529556,0.018057360906763624,0.43272519954389965,0.4709236031927024,2026-06-23,2026-09-07
R9_구조모델_되돌림,4278,48,0.3688639551192146,-5730.887859585612,-24516738.263307247,18,30,0.11140289106101878,0.02410242606935666,0.17037968675842344,0.40748712919833335,0.786697626418989,0.7589706741213772,0.4747545582047686,0.4777933613838242,2026-06-23,2026-09-07
R10_구조모델_돌파,4276,46,0.3971000935453695,-10916.924565900992,-46680769.44379264,12,34,0.0016414913408482334,0.0021899444230235854,0.09028503562945253,0.14886218734673887,0.20542451612903218,0.5934870907023426,0.45813844714686625,0.48783910196445274,2026-06-23,2026-09-07
RSI_과매수매도역행,2591,67,0.5052103434967194,-17069.989831228882,-44228343.65271404,21,46,0.0030653176696087397,0.000370009943007321,-0.14435326299335807,-0.3764554931836396,-0.42636782572266546,0.3755742882724291,0.4592821304515631,0.5063681976071015,2026-06-02,2026-09-07
