feature,n,n_nan,det_ratio,n_unique,tie_rate,daily_uniq,upd_gap_med,intraday_r2,acf1,shape
gp_dir,89986,6168,0.7187259387013275,85838,0.0018225057231124843,334.8599221789883,1.0,0.0670804026395375,0.9356611923905591,N
gp_range,89986,6168,0.6378723794328215,85633,0.00017780543640121796,334.6264591439689,1.0,0.27471222036288134,0.978269049104489,N
gp_pos,89986,6168,0.9967496323329044,54685,0.12605294156868846,254.9182879377432,1.0,0.04472217439497199,0.9031203953737166,N
gp_break_lo,89986,6168,0.9852455608197601,2,0.8859489253883938,2.0,2.0,0.013548701606832438,0.44862551053255906,B
gp_break_hi,89986,6168,0.9790690271584093,2,0.8739470584313115,1.9961089494163424,2.0,0.016367299431385204,0.4485417860684978,B
gp_range_drop,89729,6425,0.26898155404591295,44041,0.5086538354378183,172.38910505836577,1.0,0.014377328802974959,0.21559512504314077,N
gp_squeeze,74877,21277,0.9782245195712047,2,0.67235599716869,1.99609375,11.0,0.06341089073436439,0.8744205668856735,B
gp_buy,89986,6168,0.9935280543703541,72985,0.11405107461160625,287.8093385214008,1.0,0.12371483489514826,0.9461704537846285,N
gp_sell,89986,6168,0.5773468417323844,71622,0.12605294156868846,282.1828793774319,1.0,0.09824207406246832,0.9382792743803661,N
cvd_delta_norm (대조군),95636,518,0.9982079145783607,32528,0.045202643356058385,300.7315175097276,1.0,0.004223580417134823,0.010162337957886845,N
cvd_divergence (대조군),15508,80646,0.9470199826515846,1292,0.05300490069641475,163.73809523809524,1.0,0.041043719470449165,0.6637181703937814,N
atr (대조군),95636,518,0.8577054189404296,7232,0.0015266217742272783,264.3968871595331,1.0,0.4646650117094005,0.9837029808101931,N
bb_position (대조군),95636,518,0.9508775070620967,88383,0.05053536325233176,354.1284046692607,1.0,0.02697382404594691,0.871080291150945,N
